,mpg,cylinders,displacement,horsepower,weight,accel,myear,origin,car
0,18.0,8,307.0,130.0,3504.,12.0,70,1,"""chevroletchevellemalibu"""
1,15.0,8,350.0,165.0,3693.,11.5,70,1,"""buickskylark320"""
2,18.0,8,318.0,150.0,3436.,11.0,70,1,"""plymouthsatellite"""
3,16.0,8,304.0,150.0,3433.,12.0,70,1,"""amcrebelsst"""
4,17.0,8,302.0,140.0,3449.,10.5,70,1,"""fordtorino"""
5,15.0,8,429.0,198.0,4341.,10.0,70,1,"""fordgalaxie500"""
6,14.0,8,454.0,220.0,4354.,9.0,70,1,"""chevroletimpala"""
7,14.0,8,440.0,215.0,4312.,8.5,70,1,"""plymouthfuryiii"""
8,14.0,8,455.0,225.0,4425.,10.0,70,1,"""pontiaccatalina"""
9,15.0,8,390.0,190.0,3850.,8.5,70,1,"""amcambassadordpl"""
10,15.0,8,383.0,170.0,3563.,10.0,70,1,"""dodgechallengerse"""
11,14.0,8,340.0,160.0,3609.,8.0,70,1,"""plymouth'cuda340"""
12,15.0,8,400.0,150.0,3761.,9.5,70,1,"""chevroletmontecarlo"""
13,14.0,8,455.0,225.0,3086.,10.0,70,1,"""buickestatewagon(sw)"""
14,24.0,4,113.0,95.00,2372.,15.0,70,3,"""toyotacoronamarkii"""
15,22.0,6,198.0,95.00,2833.,15.5,70,1,"""plymouthduster"""
16,18.0,6,199.0,97.00,2774.,15.5,70,1,"""amchornet"""
17,21.0,6,200.0,85.00,2587.,16.0,70,1,"""fordmaverick"""
18,27.0,4,97.00,88.00,2130.,14.5,70,3,"""datsunpl510"""
19,26.0,4,97.00,46.00,1835.,20.5,70,2,"""volkswagen1131deluxesedan"""
20,25.0,4,110.0,87.00,2672.,17.5,70,2,"""peugeot504"""
21,24.0,4,107.0,90.00,2430.,14.5,70,2,"""audi100ls"""
22,25.0,4,104.0,95.00,2375.,17.5,70,2,"""saab99e"""
23,26.0,4,121.0,113.0,2234.,12.5,70,2,"""bmw2002"""
24,21.0,6,199.0,90.00,2648.,15.0,70,1,"""amcgremlin"""
